Billing account name,Billing account ID,Project name,Project ID,Service description,Service ID,SKU description,SKU ID,Credit type,Cost type,Usage start date,Usage end date,Usage amount,Usage unit,Unrounded Cost ($),Cost ($)
Google Cloud Platform Trial Billing Account,01EE3E-9F4A8E-032DAB,CapstonePro,capstonepro,Cloud SQL,9662-B51E-5089,Cloud SQL for MySQL: Zonal - vCPU in Americas,741F-D668-2417,,Usage,5/25/2021,5/31/2021,162.796,hour,6.723456,6.72
Google Cloud Platform Trial Billing Account,01EE3E-9F4A8E-032DAB,CapstonePro,capstonepro,Cloud SQL,9662-B51E-5089,Cloud SQL for MySQL: Zonal - RAM in Americas,49E9-5D00-B807,,Usage,5/25/2021,5/31/2021,610.487,gibibyte hour,4.273395,4.27
Google Cloud Platform Trial Billing Account,01EE3E-9F4A8E-032DAB,CapstonePro,capstonepro,Cloud SQL,9662-B51E-5089,Cloud SQL for MySQL: Zonal - Low cost storage in Americas,76D8-D61F-9B56,,Usage,5/25/2021,5/31/2021,2.188,gibibyte month,0.196818,0.2
Google Cloud Platform Trial Billing Account,01EE3E-9F4A8E-032DAB,CapstonePro,capstonepro,Cloud SQL,9662-B51E-5089,Storage PD Snapshot,66AB-BA17-351C,,Usage,5/25/2021,5/31/2021,0.009,gibibyte month,0.000568,0
Google Cloud Platform Trial Billing Account,01EE3E-9F4A8E-032DAB,CapstonePro,capstonepro,Cloud SQL,9662-B51E-5089,Network Internet Egress from Americas to APAC,094A-C58C-9FD6,,Usage,5/25/2021,5/29/2021,0.001,gibibyte,0.0002,0
Google Cloud Platform Trial Billing Account,01EE3E-9F4A8E-032DAB,CapstonePro,capstonepro,Cloud SQL,9662-B51E-5089,Network Internet Egress from Americas to EMEA,7EB3-F1EB-EC4A,,Usage,5/25/2021,5/31/2021,0,gibibyte,0.000002,0
Google Cloud Platform Trial Billing Account,01EE3E-9F4A8E-032DAB,CapstonePro,capstonepro,Cloud Storage,95FF-2EF5-5EA1,Regional Standard Class B Operations,7870-010B-2763,,Usage,5/25/2021,5/25/2021,1,count,0,0
Google Cloud Platform Trial Billing Account,01EE3E-9F4A8E-032DAB,CapstonePro,capstonepro,Cloud SQL,9662-B51E-5089,Storage PD Snapshot,66AB-BA17-351C,,Usage,5/25/2021,5/31/2021,0.001,gibibyte month,0,0
Google Cloud Platform Trial Billing Account,01EE3E-9F4A8E-032DAB,CapstonePro,capstonepro,Cloud SQL,9662-B51E-5089,Network Google Egress from Americas to Americas,85F4-8AFC-FF68,,Usage,5/25/2021,5/31/2021,3.975,gibibyte,0,0
Google Cloud Platform Trial Billing Account,01EE3E-9F4A8E-032DAB,CapstonePro,capstonepro,Cloud SQL,9662-B51E-5089,Network Inter Zone Egress in Americas,D32E-3B98-00B6,,Usage,5/27/2021,5/31/2021,0.001,gibibyte,0,0
Google Cloud Platform Trial Billing Account,01EE3E-9F4A8E-032DAB,CapstonePro,capstonepro,Cloud SQL,9662-B51E-5089,Network Internet Egress from Americas to EMEA,7EB3-F1EB-EC4A,PROMOTION,Usage,5/25/2021,5/31/2021,,,-0.000002,0
Google Cloud Platform Trial Billing Account,01EE3E-9F4A8E-032DAB,CapstonePro,capstonepro,Cloud SQL,9662-B51E-5089,Network Internet Egress from Americas to APAC,094A-C58C-9FD6,PROMOTION,Usage,5/25/2021,5/29/2021,,,-0.0002,0
Google Cloud Platform Trial Billing Account,01EE3E-9F4A8E-032DAB,CapstonePro,capstonepro,Cloud SQL,9662-B51E-5089,Storage PD Snapshot,66AB-BA17-351C,PROMOTION,Usage,5/25/2021,5/31/2021,,,-0.000568,0
Google Cloud Platform Trial Billing Account,01EE3E-9F4A8E-032DAB,CapstonePro,capstonepro,Cloud SQL,9662-B51E-5089,Cloud SQL for MySQL: Zonal - Low cost storage in Americas,76D8-D61F-9B56,PROMOTION,Usage,5/25/2021,5/31/2021,,,-0.196818,-0.2
Google Cloud Platform Trial Billing Account,01EE3E-9F4A8E-032DAB,CapstonePro,capstonepro,Cloud SQL,9662-B51E-5089,Cloud SQL for MySQL: Zonal - RAM in Americas,49E9-5D00-B807,PROMOTION,Usage,5/25/2021,5/31/2021,,,-4.273395,-4.27
Google Cloud Platform Trial Billing Account,01EE3E-9F4A8E-032DAB,CapstonePro,capstonepro,Cloud SQL,9662-B51E-5089,Cloud SQL for MySQL: Zonal - vCPU in Americas,741F-D668-2417,PROMOTION,Usage,5/25/2021,5/31/2021,,,-6.723456,-6.72
,,,,,,,,,Rounding error,,,,,0,
,,,,,,,,,Total,,,,,0,0
